  PID TTY           TIME CMD
  668 ??         0:02.11 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --enable-experimental-web-platform-features --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=10101451962164588470 --renderer-client-id=6 --no-v8-untrusted-code-mitigations --seatbelt-client=14
  671 ??         0:00.04 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  672 ??         0:00.08 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  673 ??         0:00.04 /usr/libexec/taskgated
  674 ??         0:00.24 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  675 ??         0:00.05 /usr/libexec/secinitd
  676 ??         0:00.05 /usr/libexec/nsurlstoraged --privileged
  678 ??         0:00.04 /usr/libexec/neagent
  688 ??         0:00.08 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  689 ??         0:00.01 SafeEjectGPUAgent
  690 ??         0:00.07 /usr/libexec/AssetCache/AssetCache
  691 ??         0:00.03 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  694 ??         0:00.17 /System/Library/CoreServices/LocationMenu.app/Contents/MacOS/LocationMenu
  698 ??         0:00.17 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --service-sandbox-type=audio --enable-audio-service-sandbox --enable-experimental-web-platform-features --message-loop-type-ui --service-request-channel-token=6009403276916978849 --seatbelt-client=14
  701 ??         0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  703 ??         0:00.01 /usr/libexec/smd
  704 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  705 ??         0:00.02 /usr/libexec/spindump_agent
  707 ??         0:00.11 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  709 ??         0:00.09 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  710 ??         0:00.06 /usr/libexec/seld
  711 ??         0:00.02 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  713 ??         0:00.14 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  714 ??         0:05.12 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  715 ??         0:00.02 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  733 ??         0:00.47 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  734 ??         0:00.41 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  735 ??         0:00.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  739 ??         0:00.10 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  743 ??         0:00.11 /usr/libexec/rtcreportingd
  744 ??         0:00.43 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  745 ??         0:00.51 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  746 ??         0:00.35 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  747 ??         0:00.41 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  748 ??         0:00.47 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  749 ??         0:00.70 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  750 ??         0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  751 ??         0:00.05 /usr/libexec/sysmond
  752 ??         0:00.04 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  753 ??         0:00.01 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
  754 ??         0:00.21 /usr/libexec/adprivacyd
  756 ??         0:00.41 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  759 ??         0:00.32 /usr/libexec/trustd --agent
  760 ??         0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  763 ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  767 ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  768 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  769 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  772 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  773 ??         0:00.22 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  774 ??         0:00.23 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  776 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  779 ??         0:00.02 /usr/sbin/distnoted agent
  780 ??         0:00.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  781 ??         0:00.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  782 ??         0:00.02 /usr/sbin/distnoted agent
  785 ??         0:00.56 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  789 ??         0:00.08 /Applications/Beyond Compare.app/Contents/PlugIns/BCFinder.appex/Contents/MacOS/BCFinder
  790 ??         0:05.94 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  814 ??         0:06.19 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --enable-experimental-web-platform-features --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=7721816040013638603 --renderer-client-id=20 --no-v8-untrusted-code-mitigations --seatbelt-client=195
  815 ??         0:00.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  816 ??         0:00.10 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --enable-experimental-web-platform-features --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=8172007311586663313 --renderer-client-id=21 --no-v8-untrusted-code-mitigations --seatbelt-client=195
  819 ??         0:00.16 node /usr/local/bin/ijskernel --hide-undefined /Users/briancullinan/Library/Jupyter/runtime/kernel-a5b0c73d-39f3-497f-a093-306a96b4295e.json --protocol=5.1
